Audio type: 1
Catalog: 12,751 unique words
Already complete: 6,549
Queued this run: 6,202
Concurrency: 4; minimum request interval: 120ms
2026-08-15T18:05:27.257Z success=6643/12751 failedThisRun=6 bytes=211911277
2026-08-15T18:05:39.662Z success=6743/12751 failedThisRun=6 bytes=213863987
2026-08-15T18:05:52.059Z success=6843/12751 failedThisRun=6 bytes=215380994
2026-08-15T18:06:04.445Z success=6943/12751 failedThisRun=6 bytes=217421151
2026-08-15T18:06:16.836Z success=7043/12751 failedThisRun=6 bytes=219676270
2026-08-15T18:06:29.247Z success=7143/12751 failedThisRun=6 bytes=222732796
2026-08-15T18:06:41.637Z success=7243/12751 failedThisRun=6 bytes=225463285
2026-08-15T18:06:54.016Z success=7343/12751 failedThisRun=6 bytes=228705597
2026-08-15T18:07:06.367Z success=7443/12751 failedThisRun=6 bytes=231515306
2026-08-15T18:07:18.780Z success=7543/12751 failedThisRun=6 bytes=233912438
2026-08-15T18:07:31.182Z success=7643/12751 failedThisRun=6 bytes=237700472
2026-08-15T18:07:43.568Z success=7743/12751 failedThisRun=6 bytes=241430977
2026-08-15T18:07:55.957Z success=7843/12751 failedThisRun=6 bytes=243964515
2026-08-15T18:08:08.355Z success=7943/12751 failedThisRun=6 bytes=245576792
2026-08-15T18:08:20.762Z success=8043/12751 failedThisRun=6 bytes=247542452
2026-08-15T18:08:33.415Z success=8142/12751 failedThisRun=7 bytes=250016750
2026-08-15T18:08:45.812Z success=8242/12751 failedThisRun=7 bytes=251994747
2026-08-15T18:08:58.196Z success=8342/12751 failedThisRun=7 bytes=254170112
2026-08-15T18:09:10.580Z success=8442/12751 failedThisRun=7 bytes=256497482
2026-08-15T18:09:22.976Z success=8542/12751 failedThisRun=7 bytes=258929858
2026-08-15T18:09:35.370Z success=8642/12751 failedThisRun=7 bytes=261998618
2026-08-15T18:09:47.762Z success=8742/12751 failedThisRun=7 bytes=264820108
2026-08-15T18:10:00.146Z success=8842/12751 failedThisRun=7 bytes=269163161
2026-08-15T18:10:12.549Z success=8942/12751 failedThisRun=7 bytes=272770691
2026-08-15T18:10:24.939Z success=9042/12751 failedThisRun=7 bytes=277162398
2026-08-15T18:10:37.328Z success=9142/12751 failedThisRun=7 bytes=279121215
2026-08-15T18:10:49.721Z success=9242/12751 failedThisRun=7 bytes=282790091
2026-08-15T18:11:02.089Z success=9342/12751 failedThisRun=7 bytes=286753516
2026-08-15T18:11:14.472Z success=9442/12751 failedThisRun=7 bytes=291346324
2026-08-15T18:11:26.844Z success=9542/12751 failedThisRun=7 bytes=294757299
2026-08-15T18:11:39.235Z success=9642/12751 failedThisRun=7 bytes=296874696
2026-08-15T18:11:51.635Z success=9742/12751 failedThisRun=7 bytes=300145081
2026-08-15T18:12:04.000Z success=9842/12751 failedThisRun=7 bytes=303894300
2026-08-15T18:12:16.365Z success=9942/12751 failedThisRun=7 bytes=307286601
2026-08-15T18:12:28.762Z success=10042/12751 failedThisRun=7 bytes=310196066
2026-08-15T18:12:41.138Z success=10142/12751 failedThisRun=7 bytes=312615096
2026-08-15T18:12:53.539Z success=10242/12751 failedThisRun=7 bytes=315005536
2026-08-15T18:13:05.929Z success=10342/12751 failedThisRun=7 bytes=317303523
2026-08-15T18:13:18.291Z success=10442/12751 failedThisRun=7 bytes=319864444
2026-08-15T18:13:30.685Z success=10542/12751 failedThisRun=7 bytes=321791460
2026-08-15T18:13:43.086Z success=10642/12751 failedThisRun=7 bytes=324279229
2026-08-15T18:13:55.387Z success=10742/12751 failedThisRun=7 bytes=326246053
2026-08-15T18:14:07.813Z success=10842/12751 failedThisRun=7 bytes=328307725
2026-08-15T18:14:20.107Z success=10942/12751 failedThisRun=7 bytes=330115092
2026-08-15T18:14:32.446Z success=11042/12751 failedThisRun=7 bytes=332036537
2026-08-15T18:14:44.774Z success=11142/12751 failedThisRun=7 bytes=334745420
2026-08-15T18:14:57.114Z success=11242/12751 failedThisRun=7 bytes=337272119
2026-08-15T18:15:09.481Z success=11342/12751 failedThisRun=7 bytes=338972839
2026-08-15T18:15:21.839Z success=11442/12751 failedThisRun=7 bytes=340841597
2026-08-15T18:15:48.189Z success=11642/12751 failedThisRun=7 bytes=344215867
2026-08-15T18:16:00.562Z success=11742/12751 failedThisRun=7 bytes=346232920
2026-08-15T18:16:12.947Z success=11842/12751 failedThisRun=7 bytes=347912909
2026-08-15T18:16:25.329Z success=11942/12751 failedThisRun=7 bytes=351274519
2026-08-15T18:16:37.701Z success=12042/12751 failedThisRun=7 bytes=356073475
2026-08-15T18:16:50.214Z success=12142/12751 failedThisRun=7 bytes=359901375
2026-08-15T18:17:02.481Z success=12242/12751 failedThisRun=7 bytes=363593012
2026-08-15T18:17:14.842Z success=12342/12751 failedThisRun=7 bytes=367217416
2026-08-15T18:17:27.238Z success=12442/12751 failedThisRun=7 bytes=370546048
2026-08-15T18:17:39.630Z success=12542/12751 failedThisRun=7 bytes=373329872
2026-08-15T18:17:52.023Z success=12642/12751 failedThisRun=7 bytes=375416397
2026-08-15T18:18:04.434Z success=12742/12751 failedThisRun=7 bytes=379582040
2026-08-15T18:18:04.678Z success=12744/12751 failedThisRun=7 bytes=379627372
Finished. successThisRun=6195 failedThisRun=7 stopped=false
[ELIFECYCLE] Command failed with exit code 2.
