Audio type: 1
Catalog: 12,751 unique words
Already complete: 5
Queued this run: 12,746
Concurrency: 4; minimum request interval: 120ms
2026-08-15T17:49:34.734Z success=105/12751 failedThisRun=0 bytes=2150721
2026-08-15T17:49:47.129Z success=205/12751 failedThisRun=0 bytes=3789748
2026-08-15T17:49:59.484Z success=305/12751 failedThisRun=0 bytes=5559166
2026-08-15T17:50:11.866Z success=405/12751 failedThisRun=0 bytes=7827227
2026-08-15T17:50:24.240Z success=505/12751 failedThisRun=0 bytes=9488259
2026-08-15T17:50:36.596Z success=605/12751 failedThisRun=0 bytes=11672534
2026-08-15T17:50:48.964Z success=705/12751 failedThisRun=0 bytes=13923535
2026-08-15T17:51:01.389Z success=805/12751 failedThisRun=0 bytes=15827836
2026-08-15T17:51:13.724Z success=905/12751 failedThisRun=0 bytes=17458417
2026-08-15T17:51:26.076Z success=1005/12751 failedThisRun=0 bytes=19124857
2026-08-15T17:51:38.442Z success=1105/12751 failedThisRun=0 bytes=20723780
2026-08-15T17:51:50.925Z success=1205/12751 failedThisRun=0 bytes=22264400
2026-08-15T17:52:03.176Z success=1305/12751 failedThisRun=0 bytes=23838808
2026-08-15T17:52:15.581Z success=1405/12751 failedThisRun=0 bytes=25203552
2026-08-15T17:52:27.963Z success=1505/12751 failedThisRun=0 bytes=26785035
2026-08-15T17:52:40.332Z success=1605/12751 failedThisRun=0 bytes=28820973
2026-08-15T17:52:52.661Z success=1705/12751 failedThisRun=0 bytes=31697026
2026-08-15T17:53:05.068Z success=1805/12751 failedThisRun=0 bytes=33926038
2026-08-15T17:53:17.641Z success=1904/12751 failedThisRun=1 bytes=35730718
2026-08-15T17:53:30.015Z success=2004/12751 failedThisRun=1 bytes=37526196
2026-08-15T17:53:42.371Z success=2104/12751 failedThisRun=1 bytes=40948409
2026-08-15T17:53:54.733Z success=2204/12751 failedThisRun=1 bytes=45780763
2026-08-15T17:54:07.112Z success=2304/12751 failedThisRun=1 bytes=50951171
2026-08-15T17:54:19.509Z success=2404/12751 failedThisRun=1 bytes=55831715
2026-08-15T17:54:31.914Z success=2504/12751 failedThisRun=1 bytes=59415952
2026-08-15T17:54:44.278Z success=2604/12751 failedThisRun=1 bytes=60996221
2026-08-15T17:54:56.652Z success=2704/12751 failedThisRun=1 bytes=62871782
2026-08-15T17:55:09.004Z success=2804/12751 failedThisRun=1 bytes=64405594
2026-08-15T17:55:21.364Z success=2904/12751 failedThisRun=1 bytes=66290560
2026-08-15T17:55:33.739Z success=3004/12751 failedThisRun=1 bytes=68297100
2026-08-15T17:55:46.113Z success=3104/12751 failedThisRun=1 bytes=69871639
2026-08-15T17:55:58.500Z success=3204/12751 failedThisRun=1 bytes=71867525
2026-08-15T17:56:10.859Z success=3304/12751 failedThisRun=1 bytes=73623867
2026-08-15T17:56:23.258Z success=3404/12751 failedThisRun=1 bytes=75578405
2026-08-15T17:56:35.846Z success=3503/12751 failedThisRun=2 bytes=78824349
2026-08-15T17:56:48.204Z success=3603/12751 failedThisRun=2 bytes=82476998
2026-08-15T17:57:00.573Z success=3703/12751 failedThisRun=2 bytes=87356551
2026-08-15T17:57:12.945Z success=3803/12751 failedThisRun=2 bytes=92602817
2026-08-15T17:57:25.333Z success=3903/12751 failedThisRun=2 bytes=97593375
2026-08-15T17:57:37.725Z success=4003/12751 failedThisRun=2 bytes=101806427
2026-08-15T17:57:50.246Z success=4103/12751 failedThisRun=2 bytes=106911792
2026-08-15T17:58:02.869Z success=4202/12751 failedThisRun=3 bytes=108785523
2026-08-15T17:58:15.244Z success=4302/12751 failedThisRun=3 bytes=111129608
2026-08-15T17:58:27.604Z success=4402/12751 failedThisRun=3 bytes=113226852
2026-08-15T17:58:39.971Z success=4502/12751 failedThisRun=3 bytes=115065810
2026-08-15T17:58:52.436Z success=4602/12751 failedThisRun=3 bytes=116930820
2026-08-15T17:59:04.724Z success=4702/12751 failedThisRun=3 bytes=118706730
2026-08-15T17:59:17.396Z success=4801/12751 failedThisRun=4 bytes=121446428
2026-08-15T17:59:29.722Z success=4901/12751 failedThisRun=4 bytes=125299701
2026-08-15T17:59:42.129Z success=5001/12751 failedThisRun=4 bytes=132176977
2026-08-15T17:59:54.509Z success=5101/12751 failedThisRun=4 bytes=137633404
2026-08-15T18:00:06.913Z success=5201/12751 failedThisRun=4 bytes=141478925
2026-08-15T18:00:19.386Z success=5301/12751 failedThisRun=4 bytes=147304008
2026-08-15T18:00:31.635Z success=5401/12751 failedThisRun=4 bytes=153162634
2026-08-15T18:00:44.014Z success=5501/12751 failedThisRun=4 bytes=158589726
2026-08-15T18:00:56.404Z success=5601/12751 failedThisRun=4 bytes=163623883
2026-08-15T18:01:08.796Z success=5701/12751 failedThisRun=4 bytes=168802137
2026-08-15T18:01:21.129Z success=5801/12751 failedThisRun=4 bytes=174868959
2026-08-15T18:01:33.582Z success=5901/12751 failedThisRun=4 bytes=180239258
2026-08-15T18:01:45.887Z success=6001/12751 failedThisRun=4 bytes=185604855
2026-08-15T18:01:58.261Z success=6101/12751 failedThisRun=4 bytes=191612171
2026-08-15T18:02:10.652Z success=6201/12751 failedThisRun=4 bytes=197515043
2026-08-15T18:02:22.976Z success=6301/12751 failedThisRun=4 bytes=203087201
2026-08-15T18:02:35.435Z success=6401/12751 failedThisRun=4 bytes=207092300
2026-08-15T18:02:47.788Z success=6501/12751 failedThisRun=4 bytes=209025898
[ELIFECYCLE] Command failed with exit code 1.
